Track_ID,Title,Artist,Album,Label,Genre,Subgenre1,Subgenre2,BPM,Camelot,Mood1,Mood2,Light,YouTube_URL
PL01_0001,Changes (Mario Basanov Remix),Crazy P,Remixed,,House,Deep,,123,4A,groovy,emotional,bright,https://www.youtube.com/watch?v=Ydb-sy4mon4
PL01_0002,Point of View,Makebo,Point of View - Single,,House,Deep,Progressive,123,4A,emotional,sleek,dark,https://www.youtube.com/watch?v=FyfrPaeE2Pk
PL01_0003,The Prophet (Andrew Meller Remix),Chus & Ceballos & Supernova,The Prophet (Andrew Meller Remix) - Single,,Techno,Driving,Progressive,123,4A,groovy,hypnotic,dark,https://www.youtube.com/watch?v=0SZ3NigxFAI
PL01_0004,Natural Flow (Hobin Rude Remix),Jochem Hamerling & Hobin Rude,Natural Flow - Single,,Techno,Driving,Progressive,123,3B,groovy,emotional,dark,https://www.youtube.com/watch?v=yv5_Ht7UL1M
PL01_0005,Down Memory Lane,Davi,Down Memory Lane - Single,,Techno,Driving,Progressive,123,3B,emotional,groovy,dark,https://www.youtube.com/watch?v=3zrMXrcAkKI
PL01_0006,This Time (Gorge Remix),Lovebirds,This Time (feat. Novika) [Remixes],,Techno,Minimal,Progressive,123,2A,sleek,emotional,dark,https://www.youtube.com/watch?v=DkpbGAqCw8g
PL01_0007,Melted,Brunello,Melted - Single,,Techno,Driving,Mellow,129.2,5B,groovy,sleek,dark,https://www.youtube.com/watch?v=t-PaVHEhM1w
PL01_0008,Veamos,Gorge,Veamos - Single,,Techno,Driving,Progressive,123,8A,groovy,emotional,dark,https://www.youtube.com/watch?v=9IMZ3Ko0jRg
PL01_0009,Vertigo,Oscar L,Vertigo - Single,,Techno,Techhouse,Acid,123,10B,groovy,bouncy,dark,https://www.youtube.com/watch?v=gCIDaG72ZoM
PL01_0010,The Quest,Andre Zimmer,Saved My Life - EP,,House,Acid,,129.2,10B,happy,bouncy,bright,https://www.youtube.com/watch?v=fdsu1qGS_oc
PL01_0011,Science Fiction,Brunello,Science Fiction - Single,,Techno,Driving,Mellow,129.2,10B,groovy,sleek,dark,https://www.youtube.com/watch?v=jluF-YFFbc4
PL01_0012,ID Please,Morpei,ID Please - Single,,Techno,Techhouse,Funk,129.2,10B,groovy,bouncy,bright,https://www.youtube.com/watch?v=2v8-1d6HJ1A
PL01_0013,Self R3B00T,Davi,Self Align - Single,,Techno,Driving,Progressive,123,1A,groovy,emotional,dark,https://www.youtube.com/watch?v=2qGlUhFonPA
PL01_0014,Midnite Man (Tim Paris Remix),Silicone Soul,The Soma 20 (Remixes),,Techno,Minimal,Techhouse,123,8A,sleek,groovy,dark,https://www.youtube.com/watch?v=YYiscKBsah0
PL01_0015,Skyfall,Nick Curly,Skyfall - Single,,House,Driving,Progressive,123,6A,sleek,groovy,dark,https://www.youtube.com/watch?v=ezDxOH-NWe8
PL01_0016,Among Us,Davi,Among Us - Single,,Techno,Driving,Progressive,123,5A,groovy,emotional,dark,https://www.youtube.com/watch?v=Ny0BjyJyyJI
PL01_0017,Known...Unknown...,Brunello,Known...Unknown... - Single,,Techno,Driving,Mellow,129.2,10A,groovy,sleek,dark,https://www.youtube.com/watch?v=IlMNyrgkmSA
PL01_0018,Levitate,Gorge,Deeper Love - EP,,House,Driving,Progressive,123,4A,groovy,emotional,dark,https://www.youtube.com/watch?v=-F4qjbTWI7c
PL01_0019,Three,Gorge,Keep On Movin' - EP,,Techno,Progressive,Driving,123,8A,emotional,groovy,dark,https://www.youtube.com/watch?v=DbvMZGoN10s
PL01_0020,Take U,Gorge,Be Yourself - Single,,House,Progressive,Driving,123,12B,hypnotic,groovy,dark,https://www.youtube.com/watch?v=Exoha2bhUVY
PL01_0021,There Is No Orb,Guy Contact,Desert Portal - EP,,House,Acid,,123,7A,happy,bouncy,bright,https://www.youtube.com/watch?v=lePWs1LAhBw
PL01_0022,Indio Hindu,Mira (Berlin) & Christopher Schwarzwälder,Leila,,Techno,Minimal,Progressive,117.5,6A,sleek,hypnotic,dark,https://www.youtube.com/watch?v=NrABKhoI5SE
PL01_0023,Magma,Kohra & SHFT,Osiris - Single,,Techno,Driving,Psytech,123,1B,hypnotic,groovy,dark,https://www.youtube.com/watch?v=qs3nPSbkAsE
PL01_0024,Clarity (feat. David A Diaz),Mike Griego,Clarity (feat. David A Diaz) - Single,,House,Progressive,Driving,117.5,9A,groovy,emotional,dark,https://www.youtube.com/watch?v=U4DJNHDVLs8
PL01_0025,Rainy Days,Etzu Mahkayah,Midnight Cruise - EP,,Techno,Minimal,Driving,123,10A,hypnotic,sleek,dark,https://www.youtube.com/watch?v=O27WnFnN_1M
PL01_0026,Self CNTRL,Davi,Self Align - Single,,Techno,Driving,Progressive,123,6A,groovy,emotional,dark,https://www.youtube.com/watch?v=j3SJz4DQWAs
PL01_0027,Departure,Adisyn,Departure - Single,,Techno,Minimal,,123,4A,sleek,,dark,https://www.youtube.com/watch?v=HHO-B7bYtPQ
PL01_0028,Fantasmi,Camion Bazar,Sangue - EP,,Techno,Driving,Hard,92.3,3A,hypnotic,groovy,dark,https://www.youtube.com/watch?v=wDAdQeleR48
PL01_0029,Kaleido,Marek Hemmann,In Between,,Electronic,Minimal,,123,8A,sleek,,bright,https://www.youtube.com/watch?v=4Lp62hv95cQ
