Track_ID,Title,Artist,Genre,Subgenre1,Subgenre2,Mood1,Mood2,Light,BPM,Camelot,x,y,z
PL01_0001,Changes (Mario Basanov Remix),Crazy P,House,Deep,,groovy,emotional,bright,123,4A,77.65147186,35.84852814,83.19783198
PL01_0002,Point of View,Makebo,House,Deep,Progressive,emotional,sleek,dark,123,4A,74.03223305,36.76776695,83.19783198
PL01_0003,The Prophet (Andrew Meller Remix),Chus & Ceballos & Supernova,Techno,Driving,Progressive,groovy,hypnotic,dark,123,4A,32.65147186,24.15147186,83.19783198
PL01_0004,Natural Flow (Hobin Rude Remix),Jochem Hamerling & Hobin Rude,Techno,Driving,Progressive,groovy,emotional,dark,123,3B,32.65147186,25.84852814,83.19783198
PL01_0005,Down Memory Lane,Davi,Techno,Driving,Progressive,emotional,groovy,dark,123,3B,30.43223305,26.76776695,83.19783198
PL01_0006,This Time (Gorge Remix),Lovebirds,Techno,Minimal,Progressive,sleek,emotional,dark,123,2A,19.15147186,38.44660435,83.19783198
PL01_0007,Melted,Brunello,Techno,Driving,Mellow,groovy,sleek,dark,129.2,5B,35.3,28,100
PL01_0008,Veamos,Gorge,Techno,Driving,Progressive,groovy,emotional,dark,123,8A,32.65147186,25.84852814,83.19783198
PL01_0009,Vertigo,Oscar L,Techno,Techhouse,Acid,groovy,bouncy,dark,123,10B,30.34852814,14.15147186,83.19783198
PL01_0010,The Quest,Andre Zimmer,House,Acid,,happy,bouncy,bright,129.2,10B,88.61629509,25.91923882,100
PL01_0011,Science Fiction,Brunello,Techno,Driving,Mellow,groovy,sleek,dark,129.2,10B,35.3,28,100
PL01_0012,ID Please,Morpei,Techno,Techhouse,Funk,groovy,bouncy,bright,129.2,10B,26.34852814,14.15147186,100
PL01_0013,Self R3B00T,Davi,Techno,Driving,Progressive,groovy,emotional,dark,123,1A,32.65147186,25.84852814,83.19783198
PL01_0014,Midnite Man (Tim Paris Remix),Silicone Soul,Techno,Minimal,Techhouse,sleek,groovy,dark,123,8A,21.2,32.40192379,83.19783198
PL01_0015,Skyfall,Nick Curly,House,Driving,Progressive,sleek,groovy,dark,123,6A,65.7,25,83.19783198
PL01_0016,Among Us,Davi,Techno,Driving,Progressive,groovy,emotional,dark,123,5A,32.65147186,25.84852814,83.19783198
PL01_0017,Known...Unknown...,Brunello,Techno,Driving,Mellow,groovy,sleek,dark,129.2,10A,35.3,28,100
PL01_0018,Levitate,Gorge,House,Driving,Progressive,groovy,emotional,dark,123,4A,68.65147186,25.84852814,83.19783198
PL01_0019,Three,Gorge,Techno,Progressive,Driving,emotional,groovy,dark,123,8A,16.43223305,26.76776695,83.19783198
PL01_0020,Take U,Gorge,House,Progressive,Driving,hypnotic,groovy,dark,123,12B,76.43223305,13.23223305,83.19783198
PL01_0021,There Is No Orb,Guy Contact,House,Acid,,happy,bouncy,bright,123,7A,88.61629509,25.91923882,83.19783198
PL01_0022,Indio Hindu,Mira (Berlin) & Christopher Schwarzwälder,Techno,Minimal,Progressive,sleek,hypnotic,dark,117.5,6A,19.15147186,36.74954807,68.29268293
PL01_0023,Magma,Kohra & SHFT,Techno,Driving,Psytech,hypnotic,groovy,dark,123,1B,33.43223305,20.23223305,83.19783198
PL01_0024,Clarity (feat. David A Diaz),Mike Griego,House,Progressive,Driving,groovy,emotional,dark,117.5,9A,78.65147186,15.84852814,68.29268293
PL01_0025,Rainy Days,Etzu Mahkayah,Techno,Minimal,Driving,hypnotic,sleek,dark,123,10A,24.03223305,33.23223305,83.19783198
PL01_0026,Self CNTRL,Davi,Techno,Driving,Progressive,groovy,emotional,dark,123,6A,32.65147186,25.84852814,83.19783198
PL01_0027,Departure,Adisyn,Techno,Minimal,,sleek,,dark,123,4A,21.5,35,83.19783198
PL01_0028,Fantasmi,Camion Bazar,Techno,Driving,Hard,hypnotic,groovy,dark,92.3,3A,36.43223305,23.23223305,0
PL01_0029,Kaleido,Marek Hemmann,Electronic,Minimal,,sleek,,bright,123,8A,58.5,75,83.19783198
