Track_ID,Title,Artist,Album,Label,Genre,Subgenre1,Subgenre2,BPM,Key,Mood1,Mood2,Light,URL,YouTube_URL,YouTube_title,YouTube_match_score,Camelot,Audio_analysis_source
PL01_0001,Changes (Mario Basanov Remix),Crazy P,Remixed,,House,Deep,,123,F minor,groovy,emotional,bright,,https://www.youtube.com/watch?v=Ydb-sy4mon4,Crazy P - Changes (Mario Basanov Remix),97.36842105,4A,YouTube_audio_analysis
PL01_0002,Point of View,Makebo,Point of View - Single,,House,Deep,Progressive,123,F minor,emotional,sleek,dark,,https://www.youtube.com/watch?v=FyfrPaeE2Pk,Point Of View,78.78787879,4A,YouTube_audio_analysis
PL01_0003,The Prophet (Andrew Meller Remix),Chus & Ceballos & Supernova,The Prophet (Andrew Meller Remix) - Single,,Techno,Driving,Progressive,123,F minor,groovy,hypnotic,dark,,https://www.youtube.com/watch?v=0SZ3NigxFAI,"Chus &amp; Ceballos , Supernova - The Prophet (Andrew Meller Remix)",93.75,4A,YouTube_audio_analysis
PL01_0004,Natural Flow (Hobin Rude Remix),Jochem Hamerling & Hobin Rude,Natural Flow - Single,,Techno,Driving,Progressive,123,C# major,groovy,emotional,dark,,https://www.youtube.com/watch?v=yv5_Ht7UL1M,Natural Flow (Hobin Rude Remix),67.39130435,3B,YouTube_audio_analysis
PL01_0005,Down Memory Lane,Davi,Down Memory Lane - Single,,Techno,Driving,Progressive,123,C# major,emotional,groovy,dark,,https://www.youtube.com/watch?v=3zrMXrcAkKI,DAVI - Down Memory Lane,95.45454545,3B,YouTube_audio_analysis
PL01_0006,This Time (Gorge Remix),Lovebirds,This Time (feat. Novika) [Remixes],,Techno,Minimal,Progressive,123,D# minor,sleek,emotional,dark,,https://www.youtube.com/watch?v=DkpbGAqCw8g,Lovebirds &#39;This Time&#39; (Gorge Remix),86.84210526,2A,YouTube_audio_analysis
PL01_0007,Melted,Brunello,Melted - Single,,Techno,Driving,Mellow,129.2,D# major,groovy,sleek,dark,,https://www.youtube.com/watch?v=t-PaVHEhM1w,Brunello - Melted [MCIRC011],69.76744186,5B,YouTube_audio_analysis
PL01_0008,Veamos,Gorge,Veamos - Single,,Techno,Driving,Progressive,123,A minor,groovy,emotional,dark,,https://www.youtube.com/watch?v=9IMZ3Ko0jRg,Gorge - Veamos,92.30769231,8A,YouTube_audio_analysis
PL01_0009,Vertigo,Oscar L,Vertigo - Single,,Techno,Techhouse,Acid,123,D major,groovy,bouncy,dark,,https://www.youtube.com/watch?v=gCIDaG72ZoM,Vertigo,63.63636364,10B,YouTube_audio_analysis
PL01_0010,The Quest,Andre Zimmer,Saved My Life - EP,,House,Acid,,129.2,D major,happy,bouncy,bright,,https://www.youtube.com/watch?v=fdsu1qGS_oc,ANDRE ZIMMER - THE QUEST,95.65217391,10B,YouTube_audio_analysis
PL01_0011,Science Fiction,Brunello,Science Fiction - Single,,Techno,Driving,Mellow,129.2,D major,groovy,sleek,dark,,https://www.youtube.com/watch?v=jluF-YFFbc4,Brunello — Science Fiction,96,10B,YouTube_audio_analysis
