Track_ID,Title,Artist,Album,Label,Genre,Subgenre,Subgenre 2,BPM,Key,Mood,Light,URL
changesma,Changes (Mario Basanov Remix),Crazy P,Remixed,,Dance,,,,,,,
pointofvi,Point of View,Makebo,Point of View - Single,,House,,,,,,,
theprophe,The Prophet (Andrew Meller Remix),Chus & Ceballos & Supernova,The Prophet (Andrew Meller Remix) - Single,,House,,,,,,,
naturalfl,Natural Flow (Hobin Rude Remix),Jochem Hamerling & Hobin Rude,Natural Flow - Single,,Dance,,,,,,,
downmemor,Down Memory Lane,Davi,Down Memory Lane - Single,,House,,,,,,,
thistimeg,This Time (Gorge Remix),Lovebirds,This Time (feat. Novika) [Remixes],,Dance,,,,,,,
meltedbru,Melted,Brunello,Melted - Single,,Dance,,,,,,,
veamosgor,Veamos,Gorge,Veamos - Single,,House,,,,,,,
vertigoos,Vertigo,Oscar L,Vertigo - Single,,Techno,,,,,,,
thequesta,The Quest,Andre Zimmer,Saved My Life - EP,,House,,,,,,,
sciencefi,Science Fiction,Brunello,Science Fiction - Single,,Electronic,,,,,,,
idpleasem,ID Please,Morpei,ID Please - Single,,Dance,,,,,,,
selfr3b00,Self R3B00T,Davi,Self Align - Single,,House,,,,,,,
midnitema,Midnite Man (Tim Paris Remix),Silicone Soul,The Soma 20 (Remixes),,House,,,,,,,
skyfallni,Skyfall,Nick Curly,Skyfall - Single,,House,,,,,,,
amongusda,Among Us,Davi,Among Us - Single,,House,,,,,,,
knownunkn,Known...Unknown...,Brunello,Known...Unknown... - Single,,Dance,,,,,,,
levitateg,Levitate,Gorge,Deeper Love - EP,,House,,,,,,,
threegorg,Three,Gorge,Keep On Movin' - EP,,House,,,,,,,
takeugorg,Take U,Gorge,Be Yourself - Single,,House,,,,,,,
thereisno,There Is No Orb,Guy Contact,Desert Portal - EP,,Trance,,,,,,,
indiohind,Indio Hindu,Mira (Berlin) & Christopher Schwarzwälder,Leila,,Electronic,,,,,,,
magmakohr,Magma,Kohra & SHFT,Osiris - Single,,House,,,,,,,
clarityfe,Clarity (feat. David A Diaz),Mike Griego,Clarity (feat. David A Diaz) - Single,,Dance,,,,,,,
rainydays,Rainy Days,Etzu Mahkayah,Midnight Cruise - EP,,House,,,,,,,
selfcntrl,Self CNTRL,Davi,Self Align - Single,,House,,,,,,,
departure,Departure,Adisyn,Departure - Single,,Techno,,,,,,,
fantasmic,Fantasmi,Camion Bazar,Sangue - EP,,Techno,,,,,,,
kaleidoma,Kaleido,Marek Hemmann,In Between,,Electronic,,,,,,,
